Date,Route,Rating,Commitment,Route Type,Area,Aid Rating,Notes,Pitches,GPS,Style,Lead Style,Length
2024-06-08,Kauffman-Cardon,5.4,,Trad,Seneca Rocks,,"LRS with revo. First pitch was good, the second pitch was the most garbage pitch I've ever done at Seneca ",4,"38.833800, -79.366300",Lead,Onsight,175
2024-06-07,T&T,5.8+,,Trad,Seneca Rocks,,,1,"38.833800, -79.366300",Lead,Onsight,190
2024-06-07,Bee Sting Corner,5.7,,Trad,Seneca Rocks,,,1,"38.833800, -79.366300",Lead,Onsight,75
2024-06-05,Predator,5.12a,,Sport,Seneca Rocks,,TR solo. ,1,"38.833800, -79.366300",TR,,45
2024-06-04,Dominion,5.10b,,Sport,Nelson Rocks,,Dominion at nrocks. Dogs out send!,1,"38.695500, -79.465000",TR,,
2024-06-03,Thais,5.6,,Trad,Seneca Rocks,,LRS with Revo. Linked pitches 1&2 and 3&4. I thought the second pitch was the money!,4,"38.833800, -79.366300",Lead,Onsight,300
2024-06-01,Conn's West,5.4,,Trad,Seneca Rocks,,Guiding. Busy day on the rock!,3,"38.833800, -79.366300",Lead,Redpoint,200
2024-05-28,Old Ladies Route,5.2,,Trad,Seneca Rocks,,Guiding Matt B. Nighttime ascent,2,"38.833800, -79.366300",Lead,Redpoint,
2024-05-28,Up and Coming,5.4,,Trad,Seneca Rocks,,Guiding Matt B. Nighttime ascent,2,"38.833800, -79.366300",Lead,Redpoint,130
2024-05-28,Worrell's Thicket,5,,Trad,Seneca Rocks,,Guiding Matt B. Nighttime ascent,3,"38.833800, -79.366300",Lead,Redpoint,160
2024-05-27,Two Scoops,5.11d,,Sport,Nelson Rocks,,"Two Scoops at nrocks. Super stout, crimpy crux! Really fun movement though",1,"38.695500, -79.465000",TR,,
2024-05-27,IMOL,5.10a,,Sport,Nelson Rocks,,IMOL at nrocks,1,"38.695500, -79.465000",TR,,
2024-05-27,Two Poops,5.10b,,Sport,Nelson Rocks,,Two Poops at nrocks. Morgans first time lead belaying so I took at the crux for her sake,1,"38.695500, -79.465000",Lead,Fell/Hung,80
2024-05-27,Old Man's Route,5.2,,Trad,Seneca Rocks,,Soloed to the last pitch then roped up for the crux pitch,3,"38.833800, -79.366300",,,
2024-05-27,Ecstasy Junior,5.4,,Trad,Seneca Rocks,,Simuled with Matt on a booty run,2,"38.833800, -79.366300",,,160
2024-05-26,Conn's West,5.4,,Trad,Seneca Rocks,,Guiding,3,"38.833800, -79.366300",Lead,Redpoint,200
2024-05-25,Bear's Delight,5.6,,Trad,Seneca Rocks,,Linked this with Lichen or Leave it for a mega pitch,1,"38.833800, -79.366300",Lead,Onsight,40
2024-05-25,Lichen or Leave It,5.8,,Trad,Seneca Rocks,,"LRS w/ Revo & mtrax. Did one mega pitch from the base of Lichen or Leave it all the way to the ridge, about 55m. Scrambled down the observation deck to take the tourist trail down. Neat crux!",2,"38.833800, -79.366300",Lead,Onsight,90
2024-05-21,Judgement Seat,5.10a,,Trad,Seneca Rocks,,"Fell on a bomber .75 at the crux. Tried to lieback but should have just stayed in the crack and went for the foot jams. Followed Matt on the OG second pitch left of the roof, super licheny! Two more adventure pitches to get to the top of the southern pillar",4,"38.833800, -79.366300",Lead,Fell/Hung,225
2024-05-21,Cottonmouth - Venom,5.10a,,Trad,Seneca Rocks,,"Followed Matt. Thin and greasy, but good! Venom was sick",1,"38.833800, -79.366300",Follow,,200
2024-05-19,Sea of Tranquility,5.10a,,Sport,Reeds Creek,,"TRd the direct line through the roof, super reachy!",1,"38.785000, -79.288000",TR,,45
2024-05-19,Dr Taco,5.7,,Sport,Reeds Creek,,,1,"38.785000, -79.288000",Lead,Onsight,30
2024-05-19,Welcome to Reed's Creek,5.7,,Sport,Reeds Creek,,,1,"38.785000, -79.288000",Lead,Onsight,30
2024-05-19,Catfish Strangler,5.11a,,Sport,Reeds Creek,,"So sick! A bit of a one move wonder, but damn that move is so fun. Must do at Reeds!",1,"38.785000, -79.288000",Lead,Onsight,60
2024-05-19,Sea of Tranquility,5.10a,,Sport,Reeds Creek,,,1,"38.785000, -79.288000",Lead,Onsight,45
2024-05-16,Breakneck Direct,5.10b,,Trad,Seneca Rocks,,,1,"38.833800, -79.366300",TR,,80
2024-05-16,Triple S,5.8+,,Trad,Seneca Rocks,,"Onsighted it first go, then did a couple TR laps. Good stuff!",3,"38.833800, -79.366300",Lead,Onsight,90
2024-05-15,Skyline Traverse,5.3,,Trad,Seneca Rocks,,,4,"38.833800, -79.366300",Lead,Redpoint,
2024-05-12,Old Man's Route,5.2,,Trad,Seneca Rocks,,W/ Julie. Busy day on old mans!,4,"38.833800, -79.366300",Lead,Redpoint,
2024-05-08,Neck Press,5.7,,Trad,Seneca Rocks,,TR just pitch 2 to get a stuck rope,1,"38.833800, -79.366300",TR,,200
2024-05-08,Green Wall,5.7,,Trad,Seneca Rocks,,LRS w/ Revo. A good time! Linked the last two pitches ,4,"38.833800, -79.366300",Lead,Onsight,
2024-05-06,Oz,5.7+,,Sport,Nelson Rocks,,"Oz at NRocks w/ Chris. Pretty damp lichen which was a tad sketch, but still a good time!",1,"38.695500, -79.465000",Lead,Onsight,
2024-05-06,Shorty,5.11b,,Sport,Nelson Rocks,,"Shorty at NRocks w/ Chris. Fell at the second bolt on the flash attempt, lowered and got it clean! Two more burns on top rope just for fun",3,"38.695500, -79.465000",Lead,Redpoint,
2024-05-02,Millennium,5.7,,Trad,Nelson Rocks,,"W/ Holly. Millennium at NRocks. Linked pitches 1 & 2 as well as pitches 5 & 6. Mostly cool because it&#39;s so long, that&#39;s about it. But the last pitch is pretty fun!",6,"38.695500, -79.465000",Lead,Onsight,
2024-05-01,Daytripper,5.10a,,Trad,Seneca Rocks,,"Botched the crux, should have gone right foot first :(",1,"38.833800, -79.366300",,,70
2024-05-01,Right Tope,5.9,,Trad,Seneca Rocks,,,1,"38.833800, -79.366300",TR,,100
2024-05-01,Right Tope,5.9,,Trad,Seneca Rocks,,Clipped two pieces left over from Holly's lead. Loved the crux!,1,"38.833800, -79.366300",Lead,Onsight,100
2024-05-01,Ambush,5.11a,,Trad,Seneca Rocks,,Super fun moves through the roof!,1,"38.833800, -79.366300",TR,,40
2024-05-01,Block Party,5.8,,Trad,Seneca Rocks,,,1,"38.833800, -79.366300",TR,,40
2024-04-29,Sunshine,5.10a,PG13,Trad,Seneca Rocks,,"2x laps on TR solo. Found 7 good placements (See Google Photos, left to right) from the deck to the first bolt that wouldn&#39;t make it too bad, but the first 10ft would still be a heads up zone. Still need to check gear for the rest of the route",2,"38.833800, -79.366300",TR,,100
2024-04-28,Humphrey's Head,5.4,,Trad,Seneca Rocks,,"Guided Matt (Whipper) and Matt. Took the route directly below the rap line, was a good bit tougher than following the north ridge. ",1,"38.833800, -79.366300",Lead,Redpoint,50
2024-04-28,Ecstasy Junior,5.4,,Trad,Seneca Rocks,,Guided Matt (Whipper) and Matt.,2,"38.833800, -79.366300",Lead,Redpoint,160
2024-04-27,Gunsight to South Peak,5.4,,Trad,Seneca Rocks,,I think doing Gunsight to South Peak Direct is the better move for more confident climbers,4,"38.833800, -79.366300",Lead,Redpoint,150
2024-04-23,Old Ladies Route,5.2,,Trad,Seneca Rocks,,,2,"38.833800, -79.366300",Lead,Redpoint,
2024-04-23,Ecstasy,5.7,,Trad,Seneca Rocks,,"Linked P1 and P2, don&#39;t do that in the future. Used a .1, .3, and a #1 peenut backed up by a piton for the hanging belay after the traverse",2,"38.833800, -79.366300",Lead,Redpoint,250
2024-04-22,License to Drill,5.10a,,Sport,Nelson Rocks,,"License To Drill at nrocks, did EZ Wider to start",1,"38.695500, -79.465000",Lead,Redpoint,
2024-04-22,Bottom Feeder,5.8,,Sport,Nelson Rocks,,Bottom Feeder at nrocks,1,"38.695500, -79.465000",Lead,Redpoint,
2024-04-21,Totem,5.11a,,Trad,Seneca Rocks,,Guided some scouts. Just P1 to TR this and the climb to the left,1,"38.833800, -79.366300",Lead,Redpoint,280
2024-04-19,Gunsight to South Peak,5.4,,Trad,Seneca Rocks,,Guided Jonah. Split it into 4 pitches from upper broadway to the summit.,4,"38.833800, -79.366300",Lead,Redpoint,150
2024-04-19,Conn's West,5.4,,Trad,Seneca Rocks,,Guided Jonah. Need to find a decent placement before the chockstone on P2 and a piece thats easier to clean on the first ledge of P3,3,"38.833800, -79.366300",Lead,Redpoint,200
2024-04-16,Predator,5.12a,,Sport,Seneca Rocks,,"Went bolt to bolt, but it's not as futuristic as I thought it might be!",1,"38.833800, -79.366300",Lead,Fell/Hung,45
2024-04-16,Sunshine,5.10a,PG13,Trad,Seneca Rocks,,Could go for the lead after I dial the gear!,1,"38.833800, -79.366300",TR,,100
2024-04-16,The Burn,5.8,,Trad,Seneca Rocks,,,1,"38.833800, -79.366300",Lead,Redpoint,150
2024-04-15,Climbin' Punishment,5.8+,,Trad,Seneca Rocks,,"Aided most of P1 after rain to remove a stuck cam. Totally busted, but fun!",1,"38.833800, -79.366300",Lead,Redpoint,180
2024-04-06,Roy Gap Chimney's,5.6,,Trad,Seneca Rocks,,Guided Matt. Onsighted just P1,1,"38.833800, -79.366300",Lead,Onsight,220
2024-04-06,Old Ladies Route,5.2,,Trad,Seneca Rocks,,"Guided Matt. Just the last two pitches. Squeaked in among a group of 7, they were super kind and chill",2,"38.833800, -79.366300",Lead,,
2024-04-06,Up and Coming,5.4,,Trad,Seneca Rocks,,"Guided Matt. Better movement than I expected, it was quite a fun way to access Old Ladies from the East",2,"38.833800, -79.366300",Lead,Onsight,130
2024-04-06,Worrell's Thicket,5,,Trad,Seneca Rocks,,Guided Matt,2,"38.833800, -79.366300",Lead,,160
2024-04-02,Conn's West,5.4,,Trad,Seneca Rocks,,"TR solo, just first two pitches to retrieve Kyle's gear ",2,"38.833800, -79.366300",TR,,200
2024-03-31,Put A Wiggle In Your Stride,5.12a,,"Sport, TR",Seneca Rocks,,"TR solo. Hard as nails, but got all the moves after some effort. Reckon another bolt could go in down low given that the old gear placement is gone, otherwise I'll shamelessly stick clip this puppy",1,"38.833800, -79.366300",TR,,50
2024-03-31,S&M,5.8,,Sport,Seneca Rocks,,TR solo. Just pitch 2,1,"38.833800, -79.366300",TR,,100
2024-03-31,Dirty Old Man,5.6,,Trad,Seneca Rocks,,LRS w/ Revo. Went in direct once to handle the back feeding,1,"38.833800, -79.366300",Lead,Onsight,80
2024-03-31,Frosted Flake,5.9,,Trad,Seneca Rocks,,"LRS w/ Revo + a follow pitch. Fun route! On point at 5.9 I think, so pretty soft by Seneca standards",2,"38.833800, -79.366300",Lead,Onsight,100
2024-03-29,Old Ladies Route,5.2,,Trad,Seneca Rocks,,"Guiding. Followed Kyle's lead, guided Alex and Kolton",3,"38.833800, -79.366300",Follow,,
2024-03-27,Abandoned,5.7,,Sport,Nelson Rocks,,Abandoned at nrocks. Used only one of the jugs on the arete to reach the lip just for fun,1,"38.695500, -79.465000",Lead,Redpoint,
2024-03-27,Nameless,5.8,,Sport,Nelson Rocks,,Nameless at nrocks 007 wall,1,"38.695500, -79.465000",Lead,Onsight,
2024-03-27,Dominion,5.10b,,Sport,Nelson Rocks,,"Dominion at nrocks. Super wet for the entire first half, but really quality climb",1,"38.695500, -79.465000",Lead,Onsight,
2024-03-27,Abandoned,5.7,,Sport,Nelson Rocks,,Abandoned at nrocks,1,"38.695500, -79.465000",Lead,Onsight,
2024-03-27,Never Say Never,5.10c,,Sport,Nelson Rocks,,Never Say Never at nrocks,1,"38.695500, -79.465000",Lead,Onsight,
2024-03-27,License to Drill,5.9+,,Sport,Nelson Rocks,,License to Drill at nrocks,1,"38.695500, -79.465000",Lead,Onsight,
2024-03-26,Conn's West,5.4,,Trad,Seneca Rocks,,"Chris led p1 of Old Man&#39;s, then I led  both pitches of Conns. Fun route!",3,"38.833800, -79.366300",Lead,Onsight,200
2024-03-24,West Pole,5.7+,,Trad,Seneca Rocks,,"W/ Josh. So sick!!! Bring some wide gear, pink tricam under the roof, #1 for the roof, save some TCUs for the corner above",2,"38.833800, -79.366300",Lead,Onsight,180
2024-03-24,Crispy Critter,5.7+,,Trad,Seneca Rocks,,"A harder, thinner version of critter crack, so good!",1,"38.833800, -79.366300",Lead,Onsight,55
2024-03-24,Le Gourmet,5.4,,Trad,Seneca Rocks,,Just pitch 1 w/ Josh,1,"38.833800, -79.366300",Lead,Flash,285
2024-03-24,Critter Crack,5.6,,Trad,Seneca Rocks,,Followed Josh,1,"38.833800, -79.366300",Follow,,80
2024-03-24,Front C,5.6,,Trad,Seneca Rocks,,With Josh,1,"38.833800, -79.366300",Follow,,50
2024-03-22,Southwest Buttress Variation,5.5,,Trad,Seneca Rocks,,"Training. W/ Tom, Chad, and Joe ",2,"38.833800, -79.366300",Lead,Redpoint,60
2024-03-21,High Test,5.9+,,Trad,Seneca Rocks,,Training,1,"38.833800, -79.366300",TR,,120
2024-03-21,Gunsight to South Peak Direct,5.4,,Trad,Seneca Rocks,,Training. Followed Chad with Arthur,1,"38.833800, -79.366300",Follow,,150
2024-03-21,Skyline Traverse,5.3,,Trad,Seneca Rocks,,Training. Followed Chad with Arthur,3,"38.833800, -79.366300",Follow,,
2024-03-19,Old Man's Route,5.2,,Trad,Seneca Rocks,,"Training. Split it into 4 pitches to train w/ Chad, Kyle, and Arthur",4,"38.833800, -79.366300",Lead,,
2024-03-18,Ecstasy Junior,5.4,,Trad,Seneca Rocks,,W/ Chad,2,"38.833800, -79.366300",Lead,Onsight,160
2024-03-18,The Burn,5.8,,Trad,Seneca Rocks,,,1,"38.833800, -79.366300",TR,,150
2024-03-16,Le Gourmet,5.4,,Trad,Seneca Rocks,,LRS w/ Revo. Only did the short pitch to critter crack after doing the direct start,2,"38.833800, -79.366300",Lead,Onsight,285
2024-03-16,Critter Crack,5.6,,Trad,Seneca Rocks,,LRS w/ Revo. Whoever says this is sustained couldn't find a no-hands rest if it hit em over the head!,2,"38.833800, -79.366300",Lead,Onsight,80
2024-03-16,Le Gourmet Direct,5.7,,Trad,Seneca Rocks,,LRS w/ revo,2,"38.833800, -79.366300",Lead,Onsight,100
2024-03-14,Humphrey's Head,5.4,,Trad,Seneca Rocks,,"LRS w/ revo, chock only ascent for practice",2,"38.833800, -79.366300",Lead,Onsight,50
2024-03-13,Totem,5.11a,,Trad,Seneca Rocks,,Just P1 with Kyle and Tom for training,1,"38.833800, -79.366300",Lead,Onsight,280
2024-03-13,Ye Gods & Little Fishes,5.8,,Trad,Seneca Rocks,,W/ Kyle after climbing Candy Corner,1,"38.833800, -79.366300",TR,,85
2024-03-13,Candy Corner,5.6,,Trad,Seneca Rocks,,W/ Kyle ,1,"38.833800, -79.366300",Lead,Onsight,95
2024-03-04,North Ridge,5.7,,Trad,Garden of the Gods,,"Super fun!! The setting was way better than the movement, but so worth it! Tons of tourists. W/ Lucia",2,"38.8764, -104.88113",Lead,Onsight,
2024-03-02,Random Couloir,AI2 Steep Snow,X,"Ice, Snow",Chasm Lake,,Climbed a random couloir above Chasm Lake after bailing from Kieners. A great day!,5,"40.25767, -105.61491",Lead,Onsight,1000
2024-02-27,Vitamin V,5.9,,Sport,Surprising Crag,,TR solo,1,"39.97305, -105.46306",TR,,50
2024-02-27,Chasing Sticks,5.9,,Sport,Surprising Crag,,TR solo. Cold and snowy,1,"39.97305, -105.46306",TR,,
2024-02-25,Vertigo,5.11b,,Trad,Surprising Crag,,"LRS P1, followed P2, both clean. Led P3 and P4, kinda hang dogged both, but had a great time!! Wind was so bad it could blow a fart UP my ass. 50mph winds towards the top, just about got blown off the rock!",4,"39.97305, -105.46306",Lead,Fell/Hung,
2024-02-24,Full Recovery,WI2,,"Trad, TR, Ice, Alpine",Thatchtop Mt,,,1,"40.28841, -105.65725",TR,,160
2024-02-17,Kool Cat,5.11a,,Trad,Cat Wall,,Clean. Sick climb! Would be a lot tougher on lead ,1,"38.09105, -109.56274",TR,,90
2024-02-17,To Skin a Cat,5.12a,,Trad,Cat Wall,,"Got hard stopped at the crux, it's pretty brutal!",1,"38.09105, -109.56274",TR,,60
2024-02-17,More Than One Way,5.10d,,Trad,Cat Wall,,"Kinda burly, a good time!",1,"38.09105, -109.56274",TR,,70
2024-02-17,Catsup,5.10a,,Trad,Cat Wall,,,1,"38.09105, -109.56274",Lead,Flash,65
2024-02-17,Trip to the Vet,5.10d,,"Trad, TR",Cat Wall,,,1,"38.09105, -109.56274",Lead,Flash,100
2024-02-16,Standard Route,5.7 C0,,"Trad, Aid",The Pickle,C0,LRS with Revo. Super stoked to have done my first aid climb!!,1,"38.61375, -109.60839",Lead,Onsight,90
2024-02-15,West Crack,5.8,,Trad,Owl Rock,,"LRS with revo. Fun climb, but there was mouse piss and shit all over it ",1,"38.6972, -109.54923",Lead,Onsight,100
2024-02-15,West Chimney,5.6,,Trad,Bullwinkle Tower,,Soloing is lame do not recommend,1,"38.69514, -109.54811",Solo,,60
2024-02-13,Bongeater,5.10d,,Trad,Bongeater Buttress,,"Botched it a foot shy of the lip bc I was gassed and runout. Next time get the crimp on the left hand, then bump the right to a layback sloper to get to the lip",1,"40.5747, -111.7734",Lead,Fell/Hung,80
2024-02-13,The Coffin,5.9,,Trad,Coffin Buttress,,Fuckin' sick!,1,"40.57418, -111.77065",Lead,Onsight,80
2024-02-13,Crescent Crack,5.7,,Trad,Crescent Crack Buttress,,"Sick climb! Definitely not for beginners, though! Led a short extra pitch to get to The Coffin. Can confirm the chimney goes easier than 5.10. It was a little thrutchy for me because I&#39;m not good at chimney/offwidth, but it went!",3,"40.5733, -111.771",Lead,Onsight,300
2024-02-11,Random 5.6,5.8,,Trad,Pete's Rock,,"LRS with revo. Something on Pete&#39;s Rock towards the left, went to a roof, some tricky moves just after the roof then a cakewalk up a slab",1,"40.65299, -111.806",Lead,Onsight,
2024-02-11,Random 5.6,5.6,,Trad,Pete's Rock,,"LRS with revo. Some random route at Pete&#39;s Rock, just left of one of the easier lines, followed the smaller crack. Bootied a fixed nut that looked to have been there a good while!",1,"40.65299, -111.806",Lead,Onsight,
2024-02-11,Route 1,5.9+,,"Trad, TR",Pete’s Rock,,"LRS w/ Revo, did the 5.7 variation. Kinda tricky to protect up to the first bolt!",1,"40.65299, -111.806",Lead,Onsight,70
2024-02-11,Knifeblade Crack,5.8,,Trad,Pete’s Rock,,LRS w/ revo,2,"40.65299, -111.806",Lead,Onsight,60
2024-02-03,Birdland,5.7+,,Trad,Brass Wall,,LRS with revo. It's as good as they say!!,10,"36.12521, -115.49109",Lead,Onsight,600
2024-01-28,Ending Crack,5.7,PG13,Trad,Sespe Gorge,,"Just did pitch 1. A dream to climb, super fun!!",1,"34.5776, -119.2579",Lead,Onsight,300
2024-01-28,Tree Root,5.5,,Trad,Sespe Gorge,,Pretty chill and fun! LOTS of ants at the base,2,"34.5776, -119.2579",Lead,Onsight,300
2024-01-27,South Face Left,5.10b,,TR,Point Dume,,Took the left variation,1,"34.00154, -118.80853",TR,,80
2024-01-27,Left,5.8,,TR,Point Dume,,,1,"34.00154, -118.80853",TR,,90
2024-01-27,Left Center,5.8,,TR,Point Dume,,,1,"34.00154, -118.80853",TR,,90
2024-01-13,Sexy Grandma,5.9,,Sport,Hidden Valley Campground,,Rope gunned for some friendly boulderers!,1,"32.631, -116.0788",Lead,Onsight,80
2024-01-13,Bearded Cabbage,5.10c,,Trad,Hidden Valley Campground,,Fell a couple times at the Crux and lost some skin. Reallyyy should get some new crack gloves ,1,"32.631, -116.0788",Lead,Fell/Hung,80
2024-01-13,Buissonier,5.7+,,Trad,Hidden Valley Campground,,LRS w/ one follow pitch,2,"32.631, -116.0788",Lead,Onsight,
2024-01-10,Four Course Meal,5.7,,Trad,Window Dome,,w/ Dana,3,"31.935, -109.99553",Lead,Onsight,400
2024-01-08,King of Snake,5.12a,,Sport,The Biscuit,,"Clean send, super fun Crux!!",1,"31.70897, -110.49505",TR,,90
2024-01-08,Swifting,5.11a,,Sport,The Biscuit,,,1,"31.70897, -110.49505",Lead,Onsight,90
2024-01-08,Postcards to Pinetop,5.10a,,Sport,The Biscuit,,,1,"31.70897, -110.49505",Lead,Onsight,110
2024-01-08,Sombreros from Snowflake,5.10b,,Sport,The Biscuit,,,1,"31.70897, -110.49505",Lead,Onsight,101
2023-12-26,Hot Yoga,5.10a,,Sport,Pilot Mountain,,"Last route of the day, so I just TR'd",1,"36.340200, -80.480780",TR,,50
2023-12-15,Outhouse,5.7,,"Trad, TR",Pilot Mountain,,,1,"36.340200, -80.480780",Lead,Redpoint,50
2023-12-15,KMA,5.8,,TR,Pilot Mountain,,,1,"36.340200, -80.480780",TR,,60
2023-12-15,Blind Prophet,5.12b,PG13,Sport,Pilot Mountain,,"Pretty gassed, fell at the second to last bolt",1,"36.340200, -80.480780",Lead,Fell/Hung,70
2023-12-15,Blind Prophet,5.12b,PG13,Sport,Pilot Mountain,,"Fell right at the last bolt, so close! ",1,"36.340200, -80.480780",Lead,Fell/Hung,70
2023-12-15,Grandpa's Belay,5.6,,"Trad, TR",Pilot Mountain,,,1,"36.340200, -80.480780",TR,,50
2023-12-09,Crackin' Up,5.7,,Trad,Pilot Mountain,,SPI exam. Bootied a .75!,1,"36.340200, -80.480780",Lead,Redpoint,50
2023-12-09,Outhouse,5.7,,"Trad, TR",Pilot Mountain,,SPI exam,1,"36.340200, -80.480780",TR,,50
2023-12-09,KMA,5.8,,TR,Pilot Mountain,,SPI exam,1,"36.340200, -80.480780",TR,,60
2023-12-03,Outhouse,5.7,,"Trad, TR",Pilot Mountain,,SPI course,1,"36.340200, -80.480780",TR,,50
2023-11-18,Son of White Trash,5.8,,"Trad, Sport",The Dump,,,1,"36.09764, -81.77188",Lead,Redpoint,40
2023-11-18,Red Headed Stepchild,5.10a,,Trad,The Dump,,"Super fun, definitely worth getting on!! ",1,"36.09764, -81.77188",Lead,Onsight,30
2023-11-18,Unwritten Law,5.12b,,Sport,The Dump,,Made it clean to the dyno again then botched it. Gave a couple more throws then came down bc a wicked flapper on my pinkie :(,1,"36.09764, -81.77188",Lead,Fell/Hung,45
2023-11-18,Dimpsty Dumpster,5.10a,,Sport,The Dump,,,1,"36.09764, -81.77188",Lead,Redpoint,25
2023-11-18,Unwritten Law,5.12b,,Sport,The Dump,,"Got it clean to the dyno, then fell. Hung for a bit then tried again and got the move for the first time!",1,"36.09764, -81.77188",Lead,Fell/Hung,45
2023-11-18,Voodoo Child,5.11a,,Sport,The Dump,,,1,"36.09764, -81.77188",Lead,Redpoint,
2023-11-18,Vermin,5.10b,,Sport,The Dump,,,1,"36.09764, -81.77188",Lead,Onsight,
2023-11-12,The Great Arch,5.5,,Trad,Stone Mountain,,Guiding,3,"36.3916, -81.0473",Lead,Redpoint,400
2023-11-12,U Slot,5.7,PG13,Trad,Stone Mountain,,Guiding,1,"36.3916, -81.0473",Lead,Redpoint,140
2023-11-03,U Slot,5.7,PG13,Trad,Stone Mountain,,,1,"36.3916, -81.0473",Lead,Redpoint,140
2023-11-03,The Great Arch,5.5,,Trad,Stone Mountain,,Mock guide w/ Russell & Josie,3,"36.3916, -81.0473",Lead,Redpoint,400
2023-10-30,Sentinel Buttress,5.5,,Trad,Sentinel Buttress,,Spoopy climb!,2,"36.3973, -80.2861",Lead,Redpoint,200
2023-10-21,Two Bag Face,5.9,R,Trad,Fern Buttress,,,1,"38.0607, -81.0671",Lead,Onsight,80
2023-10-21,Springboard,5.10b,,Trad,Fern Buttress,,,1,"38.0607, -81.0671",Lead,Redpoint,70
2023-10-21,Triple Treat,5.10a,,Trad,Fern Buttress,,"Whoo, what a fight!! Stoked to bag the onsight",1,"38.0607, -81.0671",Lead,Onsight,70
2023-10-21,Shiny Faces,5.10d,,Trad,Fern Buttress,,"Fell at the crux, then again at the jug after the crux. Pretty tough! Crux beta is very similar to Narcissus tbh. Gear was great all through though, but the upper hand crack that would have been a total joy was sopping wet from rain last night .
 Want to try inversion beta next time :)",1,"38.0607, -81.0671",Lead,Fell/Hung,60
2023-10-21,Ritz Cracker,5.9,,Trad,Fern Buttress,,Lives up to the hype!,1,"38.0607, -81.0671",Lead,Onsight,90
2023-10-20,Animal Logic,5.12b,,"Sport, Boulder",DC Memorial Boulder,,"Follow to clean, also fell a couple times",1,"38.24156, -80.84428",Follow,,20
2023-10-20,Process of Elimination,5.11b,,Sport,DC Memorial Boulder,,Everything I wanted climbing those 12s today to be! I guess I need to get stronger,1,"38.24156, -80.84428",Lead,Onsight,45
2023-10-20,Animal Logic,5.12b,,"Sport, Boulder",DC Memorial Boulder,,,1,"38.24156, -80.84428",Lead,Fell/Hung,20
2023-10-20,Narcissus,5.12a,,Sport,Narcissus Cave,,"Climbed through to the ledge, fell after trying for the big move off the ledge. Need to really dial the traverse and get better at resting at the ledge. Also get stronger! Found a crummy kneebar rest right after that move, could try to figure out how to dial that in ",1,"38.24193, -80.84067",Lead,Fell/Hung,55
2023-10-20,Narcissus,5.12a,,Sport,Narcissus Cave,,"Fell at the 4th bolt after having no clue what to do, then sussed out the beta. Gotta keep working on it!",1,"38.24193, -80.84067",Lead,Fell/Hung,55
2023-10-19,New Yosemite,5.9,,"Trad, TR",The Junkyard,,Felt very easy!,1,"38.08299, -81.08043",Lead,Redpoint,65
2023-10-01,Two For One,5.9,PG13,Trad,Table Rock,,Accidentally ended up here while trying to go to pumpkintown... Had fun on this though! Snagged a bail biner. placed a black tricam right after the bolt above the ledge,1,"35.88831, -81.88519",Lead,Onsight,180
2023-09-23,19'-hexanoyloxyfucoxanthin,5.9,,Trad,Whitewater Buttress,,FA of 19'-hexanoyloxyfucoxanthin. Followed crux pitch,2,"36.07719, -82.3723",Lead,Onsight,110
2023-09-23,Prime Rib,5.10a,,Trad,Whitewater Buttress,,FA of Prime Rib. Led the crux pitch,2,"36.07719, -82.3723",Lead,Onsight,70
2023-09-16,Dude on the Corner,5.9+,,Sport,Pilot Mountain,,,1,"36.340200, -80.480780",Lead,Redpoint,50
2023-09-08,Easy Hard,5.5,,Trad,Moore’s Central Wall,,"Guiding, accidentally took the 5.6/7 roof on the left just below the anchor. Oops!",1,"36.39764, -80.28578",Lead,Redpoint,120
2023-09-05,The 8th Sin,5.11d,,Sport,The Underworld,,"Route was bone dry today, had a ton of fun! Hung a couple times, made it to the moves just below the anchor and biffed it. So fun!",1,"35.88116, -81.90287",Lead,Fell/Hung,
2023-09-05,The Devil Wears Prana,5.10b,,Sport,The Underworld,,,1,"35.88116, -81.90287",Lead,Onsight,
2023-09-03,Capt Crunch,5.10d,,Trad,Cereal Buttress,,"What a fight! Had a ton of fun, it was just the right challenge level. Very dirty though ",1,"35.44953, -82.21258",Lead,Fell/Hung,80
2023-09-03,Born Again,5.10d,,Sport,Cereal Buttress,,"Top roped to the second bolt, led the rest. Clean",1,"35.44953, -82.21258",Lead,Pinkpoint,90
2023-09-03,Shredded Wheat,5.11a,,Trad,Cereal Buttress,,Incredible!! Was a little touch and go in the crux but I pulled through ,1,"35.44953, -82.21258",Lead,Onsight,90
2023-09-03,Frosted Flake,5.9+,,Trad,Cereal Buttress,,,1,"35.44953, -82.21258",Follow,,80
2023-08-29,Sentinel Buttress,5.5,,Trad,Sentinel Buttress,,Just P2,1,"36.3973, -80.2861",Lead,Redpoint,200
2023-08-29,Big Jugs,5.5,,Trad,Sentinel Buttress,,SO much better than P1 of sentinel,1,"36.3973, -80.2861",Lead,Onsight,90
2023-08-27,Crackin' Up,5.7,,Trad,Pilot Mountain,,,1,"36.340200, -80.480780",Lead,Redpoint,50
2023-08-27,Bat out of Hell,5.11b,,"Trad, Sport",Pilot Mountain,,Fell at the 4th bolt after pumping out on the wee baby crimps,1,"36.340200, -80.480780",Lead,Fell/Hung,
2023-08-27,Erocktica,5.10c,,Sport,Pilot Mountain,,,1,"36.340200, -80.480780",Lead,Fell/Hung,50
